platform	component	version	artifact-or-input	license-status	source-or-manifest
android	mpv and FFmpeg native graph	mpv 0.41.0; FFmpeg 8.1	libmpv-android 1.0.0 pinned AAR input	owner-reviewed GPL notice/source set	scripts/android-mpv-bundle/manifest-1.0.0.txt
android	Media3 FFmpeg decoder	1.9.0+1	org.jellyfin.media3:media3-ffmpeg-decoder:1.9.0+1	owner-reviewed GPL-3.0 notice/source set	scripts/android-mpv-bundle/manifest-1.0.0.txt
android	LibVLC	3.7.5	org.videolan.android:libvlc-all:3.7.5	owner-reviewed LGPL-2.1 notice/source set	scripts/android-mpv-bundle/manifest-1.0.0.txt
android	Managed runtime families	current pinned Gradle inputs	Android mobile and TV release graphs	owner-reviewed published license/source set	distribution/MOBILE_RUNTIME_NOTICES.md
ios	VLCKit	4.0.0a23	VLCKit-4.0-20260805-1123.zip	owner-reviewed LGPL-2.1 artifact/source route	scripts/vlckit-bundle/manifest-4.0.0a23.txt
ios	Managed runtime families	current pinned Gradle inputs	iOS arm64 release graph	owner-reviewed published license/source set	distribution/MOBILE_RUNTIME_NOTICES.md
macos-arm64	VLC runtime	3.0.23	selected VLC.app arm64 files	recorded notice/source set	scripts/vlc-bundle/manifest-3.0.23-arm64.txt
macos-arm64	mpv and transitive dylibs	IINA 1.4.0; mpv c0dd2b3	IINA 1.4.0 arm64 69-file manifest	recorded GPL artifact/source set	scripts/desktop-mpv-bundle/manifest-iina-1.4.0-arm64.txt
macos-arm64	Desktop JVM runtime families	resolved versions in reviewed family inventory	desktop-app runtimeClasspath	recorded license/source inventory	distribution/DESKTOP_JVM_RUNTIME_LICENSE_INVENTORY.tsv
tvos	Managed runtime dependency graph	current Gradle inputs	tvOS release graph	review-required	docs/operations/licensing-and-distribution.md
other-desktop	Runtime and native dependency graphs	unreviewed	Intel macOS, Windows, and Linux artifacts	review-required	docs/operations/licensing-and-distribution.md
