family	gradle-group	accepted-components	published-license	upstream-source
AndroidX annotations	androidx.annotation	annotation:1.9.1,annotation-jvm:1.9.1	Apache-2.0	https://android.googlesource.com/platform/frameworks/support
AndroidX arch core	androidx.arch.core	core-common:2.2.0	Apache-2.0	https://android.googlesource.com/platform/frameworks/support
AndroidX collections	androidx.collection	collection:1.5.0,collection-jvm:1.5.0	Apache-2.0	https://android.googlesource.com/platform/frameworks/support
AndroidX Compose runtime	androidx.compose.runtime	runtime-annotation-jvm:1.12.0,runtime-annotation:1.12.0,runtime-desktop:1.12.0,runtime-retain-desktop:1.12.0,runtime-retain:1.12.0,runtime-saveable-desktop:1.12.0,runtime-saveable:1.12.0,runtime:1.12.0	Apache-2.0	https://android.googlesource.com/platform/frameworks/support
AndroidX lifecycle	androidx.lifecycle	lifecycle-common-jvm:2.11.0,lifecycle-common:2.11.0,lifecycle-runtime-compose-desktop:2.11.0,lifecycle-runtime-compose:2.11.0,lifecycle-runtime-desktop:2.11.0,lifecycle-runtime:2.11.0,lifecycle-viewmodel-compose-desktop:2.11.0,lifecycle-viewmodel-compose:2.11.0,lifecycle-viewmodel-desktop:2.11.0,lifecycle-viewmodel-savedstate-desktop:2.11.0,lifecycle-viewmodel-savedstate:2.11.0,lifecycle-viewmodel:2.11.0	Apache-2.0	https://android.googlesource.com/platform/frameworks/support
AndroidX navigation event	androidx.navigationevent	navigationevent-compose-desktop:1.1.1,navigationevent-compose:1.1.1,navigationevent-desktop:1.1.1,navigationevent:1.1.1	Apache-2.0	https://android.googlesource.com/platform/frameworks/support
AndroidX Room	androidx.room3	room3-common-jvm:3.0.2,room3-common:3.0.2,room3-runtime-jvm:3.0.2,room3-runtime:3.0.2	Apache-2.0	https://android.googlesource.com/platform/frameworks/support
AndroidX saved state	androidx.savedstate	savedstate:1.4.0,savedstate-compose:1.4.0,savedstate-compose-desktop:1.4.0,savedstate-desktop:1.4.0	Apache-2.0	https://android.googlesource.com/platform/frameworks/support
AndroidX SQLite	androidx.sqlite	sqlite-async-jvm:2.7.0,sqlite-async:2.7.0,sqlite-bundled-jvm:2.7.0,sqlite-bundled:2.7.0,sqlite-jvm:2.7.0,sqlite:2.7.0	Apache-2.0	https://android.googlesource.com/platform/frameworks/support
Touchlab Kotlin libraries	co.touchlab	kermit:2.1.0,kermit-core:2.1.0,kermit-core-jvm:2.1.0,kermit-jvm:2.1.0,stately-concurrency:2.1.0,stately-concurrency-jvm:2.1.0,stately-concurrent-collections:2.1.0,stately-concurrent-collections-jvm:2.1.0,stately-strict:2.1.0,stately-strict-jvm:2.1.0	Apache-2.0	https://github.com/touchlab/Kermit; https://github.com/touchlab/Stately
OkHttp	com.squareup.okhttp3	okhttp:5.3.2,okhttp-jvm:5.3.2	Apache-2.0	https://github.com/square/okhttp
Okio	com.squareup.okio	okio-jvm:3.18.1,okio:3.18.1	Apache-2.0	https://github.com/square/okio
Coil	io.coil-kt.coil3	coil-compose-core-jvm:3.6.2,coil-compose-core:3.6.2,coil-compose-jvm:3.6.2,coil-compose:3.6.2,coil-core-jvm:3.6.2,coil-core:3.6.2,coil-jvm:3.6.2,coil-network-core-jvm:3.6.2,coil-network-core:3.6.2,coil-network-ktor3-jvm:3.6.2,coil-network-ktor3:3.6.2,coil:3.6.2	Apache-2.0	https://github.com/coil-kt/coil
Koin	io.insert-koin	koin-compose:4.2.2,koin-compose-jvm:4.2.2,koin-compose-viewmodel:4.2.2,koin-compose-viewmodel-jvm:4.2.2,koin-core:4.2.2,koin-core-jvm:4.2.2,koin-core-viewmodel:4.2.2,koin-core-viewmodel-jvm:4.2.2	Apache-2.0	https://github.com/InsertKoinIO/koin
Ktor	io.ktor	ktor-client-content-negotiation:3.5.2,ktor-client-content-negotiation-jvm:3.5.2,ktor-client-core:3.5.2,ktor-client-core-jvm:3.5.2,ktor-client-logging:3.5.2,ktor-client-logging-jvm:3.5.2,ktor-client-okhttp:3.5.2,ktor-client-okhttp-jvm:3.5.2,ktor-client-resources:3.5.2,ktor-client-resources-jvm:3.5.2,ktor-events:3.5.2,ktor-events-jvm:3.5.2,ktor-http:3.5.2,ktor-http-cio:3.5.2,ktor-http-cio-jvm:3.5.2,ktor-http-jvm:3.5.2,ktor-io:3.5.2,ktor-io-jvm:3.5.2,ktor-network:3.5.2,ktor-network-jvm:3.5.2,ktor-resources:3.5.2,ktor-resources-jvm:3.5.2,ktor-serialization:3.5.2,ktor-serialization-jvm:3.5.2,ktor-serialization-kotlinx:3.5.2,ktor-serialization-kotlinx-json:3.5.2,ktor-serialization-kotlinx-json-jvm:3.5.2,ktor-serialization-kotlinx-jvm:3.5.2,ktor-sse:3.5.2,ktor-sse-jvm:3.5.2,ktor-utils:3.5.2,ktor-utils-jvm:3.5.2,ktor-websocket-serialization:3.5.2,ktor-websocket-serialization-jvm:3.5.2,ktor-websockets:3.5.2,ktor-websockets-jvm:3.5.2	Apache-2.0	https://github.com/ktorio/ktor
JNA	net.java.dev.jna	jna:5.19.1	Apache-2.0 OR LGPL-2.1-or-later	https://github.com/java-native-access/jna
